No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,"Epit, mV (SCE)",Test Temp (C),Test Solution,[Cl-] M,pH,Test Method,Scan Rate mV/s,Heat treatment,Microstructures,Comments,Reference,Material class
11,62.54,18,13,3,0,NA,0,0.02,1,2,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,720,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31703 (317L),49,Fe Alloy
12,62.54,18,13,3,0,NA,0,0.02,1,2,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,647,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31703 (317L),49,Fe Alloy
13,62.54,18,13,3,0,NA,0,0.02,1,2,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,556,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31703 (317L),49,Fe Alloy
14,62.54,18,13,3,0,NA,0,0.02,1,2,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,275,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31703 (317L),49,Fe Alloy
15,62.54,18,13,3,0,NA,0,0.02,1,2,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,204,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31703 (317L),49,Fe Alloy
16,47.74,20,24.5,5,0,NA,0,0.02,NA,1.5,1,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,876,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,N08904 (904L),49,Fe Alloy
17,47.74,20,24.5,5,0,NA,0,0.02,NA,1.5,1,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,860,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,N08904 (904L),49,Fe Alloy
18,47.74,20,24.5,5,0,NA,0,0.02,NA,1.5,1,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,780,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,N08904 (904L),49,Fe Alloy
19,47.74,20,24.5,5,0,NA,0,0.02,NA,1.5,1,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,587,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,N08904 (904L),49,Fe Alloy
20,47.74,20,24.5,5,0,NA,0,0.02,NA,1.5,1,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,427,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,N08904 (904L),49,Fe Alloy
21,84.61,13,NA,NA,0,NA,0,NA,1,1,NA,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0,144,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S41000 (410),49,Fe Alloy
22,84.61,13,NA,NA,0,NA,0,NA,1,1,NA,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0,101,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S41000 (410),49,Fe Alloy
23,84.61,13,NA,NA,0,NA,0,NA,1,1,NA,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0,-120,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S41000 (410),49,Fe Alloy
24,84.61,13,NA,NA,0,NA,0,NA,1,1,NA,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0,-43,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S41000 (410),49,Fe Alloy
25,84.61,13,NA,NA,0,NA,0,NA,1,1,NA,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0,-145,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S41000 (410),49,Fe Alloy
26,73.09,16,4.5,NA,0,NA,0.3,0.07,1,1,4,0.04,NA,0,0,0,0,0,0,0,0,0,0,0,221,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S17400 (17-4PH),49,Fe Alloy
27,73.09,16,4.5,NA,0,NA,0.3,0.07,1,1,4,0.04,NA,0,0,0,0,0,0,0,0,0,0,0,263,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S17400 (17-4PH),49,Fe Alloy
28,73.09,16,4.5,NA,0,NA,0.3,0.07,1,1,4,0.04,NA,0,0,0,0,0,0,0,0,0,0,0,251,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S17400 (17-4PH),49,Fe Alloy
29,73.09,16,4.5,NA,0,NA,0.3,0.07,1,1,4,0.04,NA,0,0,0,0,0,0,0,0,0,0,0,281,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S17400 (17-4PH),49,Fe Alloy
30,73.09,16,4.5,NA,0,NA,0.3,0.07,1,1,4,0.04,NA,0,0,0,0,0,0,0,0,0,0,0,1516,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S17400 (17-4PH),49,Fe Alloy
31,55.08,20,18,6,0,0.2,0,0.02,0,NA,0.7,NA,NA,0,0,0,0,0,0,0,0,0,0,0,840,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31254 (SMO 254),49,Fe Alloy
32,55.08,20,18,6,0,0.2,0,0.02,0,NA,0.7,NA,NA,0,0,0,0,0,0,0,0,0,0,0,830,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31254 (SMO 254),49,Fe Alloy
33,55.08,20,18,6,0,0.2,0,0.02,0,NA,0.7,NA,NA,0,0,0,0,0,0,0,0,0,0,0,821,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31254 (SMO 254),49,Fe Alloy
34,55.08,20,18,6,0,0.2,0,0.02,0,NA,0.7,NA,NA,0,0,0,0,0,0,0,0,0,0,0,785,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31254 (SMO 254),49,Fe Alloy
35,55.08,20,18,6,0,0.2,0,0.02,0,NA,0.7,NA,NA,0,0,0,0,0,0,0,0,0,0,0,813,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31254 (SMO 254),49,Fe Alloy
36,44.59,25,22,7,0,0.5,0,0.02,NA,0.5,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,979,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S32654 (SMO 654),49,Fe Alloy
37,44.59,25,22,7,0,0.5,0,0.02,NA,0.5,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,975,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S32654 (SMO 654),49,Fe Alloy
38,44.59,25,22,7,0,0.5,0,0.02,NA,0.5,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,972,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S32654 (SMO 654),49,Fe Alloy
39,44.59,25,22,7,0,0.5,0,0.02,NA,0.5,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,908,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S32654 (SMO 654),49,Fe Alloy
40,44.59,25,22,7,0,0.5,0,0.02,NA,0.5,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,883,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S32654 (SMO 654),49,Fe Alloy
